C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,22, 농림 및 수산,　Agriculture ＆ fisheries,공종별,By the kind of construction works,495883,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,23, 도로 및 교량,　Roads ＆ bridges,공종별,By the kind of construction works,8441442,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,24, 항만 및 공항,　Harbors ＆ airports,공종별,By the kind of construction works,2124769,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,25, 철도 및 궤도,　Railway ＆ track,공종별,By the kind of construction works,2403327,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,26, 상하수도,　Water supply and sewerage,공종별,By the kind of construction works,1367751,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,27, 발전 및 통신,　Generation ＆ transmission of elctricity,공종별,By the kind of construction works,10080986,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,28, 토지조성,　Land development,공종별,By the kind of construction works,3234821,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,29, 댐,　Dams,공종별,By the kind of construction works,119187,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,2A, 기계설치,　Installation of machinery,공종별,By the kind of construction works,8472287,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,2B, 조경공사,　landscaping,공종별,By the kind of construction works,858574,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
0,수주총액,Total amount of orders received,발주자별,By the kind of orderer,2C, 기타,　Others,공종별,By the kind of construction works,588231,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,29531007,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,12031962,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,11, 주택,　Dwellings,공종별,By the kind of construction works,8530472,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,111,  신규주택,　New homes,공종별,By the kind of construction works,8064798,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,112,  재건축,　Reconstruction,공종별,By the kind of construction works,25290,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,113,  재개발,　Redevelopment,공종별,By the kind of construction works,440384,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,12, 사무실 및 점포,　Offices ＆ stores,공종별,By the kind of construction works,894858,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,13, 공장 및 창고,　Factory ＆ storage,공종별,By the kind of construction works,125984,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,14, 관공서 등,　Public offices,공종별,By the kind of construction works,1985253,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,15, 기타,　Others,공종별,By the kind of construction works,495395,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,2,토목,Civil engineering,공종별,By the kind of construction works,17499045,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,21, 치산 및 치수,　Forestry conservancy ＆ water control,공종별,By the kind of construction works,555603,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,22, 농림 및 수산,　Agriculture ＆ fisheries,공종별,By the kind of construction works,495883,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,23, 도로 및 교량,　Roads ＆ bridges,공종별,By the kind of construction works,7839361,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,24, 항만 및 공항,　Harbors ＆ airports,공종별,By the kind of construction works,1669414,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,25, 철도 및 궤도,　Railway ＆ track,공종별,By the kind of construction works,1234500,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,26, 상하수도,　Water supply and sewerage,공종별,By the kind of construction works,1319267,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,27, 발전 및 통신,　Generation ＆ transmission of elctricity,공종별,By the kind of construction works,1071017,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,28, 토지조성,　Land development,공종별,By the kind of construction works,1377370,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,29, 댐,　Dams,공종별,By the kind of construction works,119187,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,2A, 기계설치,　Installation of machinery,공종별,By the kind of construction works,763176,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,2B, 조경공사,　landscaping,공종별,By the kind of construction works,533175,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
1,공공부문,Public sector,발주자별,By the kind of orderer,2C, 기타,　Others,공종별,By the kind of construction works,521092,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,3995643,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,1038951,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,11, 주택,　Dwellings,공종별,By the kind of construction works,61766,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,111,  신규주택,　New homes,공종별,By the kind of construction works,61766,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,112,  재건축,　Reconstruction,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,113,  재개발,　Redevelopment,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,12, 사무실 및 점포,　Offices ＆ stores,공종별,By the kind of construction works,76324,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,13, 공장 및 창고,　Factory ＆ storage,공종별,By the kind of construction works,4530,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,14, 관공서 등,　Public offices,공종별,By the kind of construction works,885571,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,15, 기타,　Others,공종별,By the kind of construction works,10760,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,2,토목,Civil engineering,공종별,By the kind of construction works,2956692,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,21, 치산 및 치수,　Forestry conservancy ＆ water control,공종별,By the kind of construction works,88460,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,22, 농림 및 수산,　Agriculture ＆ fisheries,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,23, 도로 및 교량,　Roads ＆ bridges,공종별,By the kind of construction works,1541776,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,24, 항만 및 공항,　Harbors ＆ airports,공종별,By the kind of construction works,1144375,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,25, 철도 및 궤도,　Railway ＆ track,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,26, 상하수도,　Water supply and sewerage,공종별,By the kind of construction works,5453,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,27, 발전 및 통신,　Generation ＆ transmission of elctricity,공종별,By the kind of construction works,17222,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,28, 토지조성,　Land development,공종별,By the kind of construction works,11272,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,29, 댐,　Dams,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,2A, 기계설치,　Installation of machinery,공종별,By the kind of construction works,7961,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,2B, 조경공사,　landscaping,공종별,By the kind of construction works,26543,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
11,  중앙정부,　Central government,발주자별,By the kind of orderer,2C, 기타,　Others,공종별,By the kind of construction works,113630,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,5209044,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,1467520,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,11, 주택,　Dwellings,공종별,By the kind of construction works,79497,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,111,  신규주택,　New homes,공종별,By the kind of construction works,79497,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,112,  재건축,　Reconstruction,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,113,  재개발,　Redevelopment,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,12, 사무실 및 점포,　Offices ＆ stores,공종별,By the kind of construction works,475274,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,13, 공장 및 창고,　Factory ＆ storage,공종별,By the kind of construction works,44414,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,14, 관공서 등,　Public offices,공종별,By the kind of construction works,702478,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,15, 기타,　Others,공종별,By the kind of construction works,165857,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,2,토목,Civil engineering,공종별,By the kind of construction works,3741524,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,21, 치산 및 치수,　Forestry conservancy ＆ water control,공종별,By the kind of construction works,406053,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,22, 농림 및 수산,　Agriculture ＆ fisheries,공종별,By the kind of construction works,23133,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,23, 도로 및 교량,　Roads ＆ bridges,공종별,By the kind of construction works,1495484,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,24, 항만 및 공항,　Harbors ＆ airports,공종별,By the kind of construction works,113800,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,25, 철도 및 궤도,　Railway ＆ track,공종별,By the kind of construction works,232111,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,26, 상하수도,　Water supply and sewerage,공종별,By the kind of construction works,890932,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,27, 발전 및 통신,　Generation ＆ transmission of elctricity,공종별,By the kind of construction works,8036,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,28, 토지조성,　Land development,공종별,By the kind of construction works,117569,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,29, 댐,　Dams,공종별,By the kind of construction works,10,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,2A, 기계설치,　Installation of machinery,공종별,By the kind of construction works,205779,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,2B, 조경공사,　landscaping,공종별,By the kind of construction works,226336,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
12,  지방자치단체,　Local government,발주자별,By the kind of orderer,2C, 기타,　Others,공종별,By the kind of construction works,22281,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,17560380,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,9063396,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,11, 주택,　Dwellings,공종별,By the kind of construction works,8379467,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,111,  신규주택,　New homes,공종별,By the kind of construction works,7913793,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,112,  재건축,　Reconstruction,공종별,By the kind of construction works,25290,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,113,  재개발,　Redevelopment,공종별,By the kind of construction works,440384,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,12, 사무실 및 점포,　Offices ＆ stores,공종별,By the kind of construction works,234982,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,13, 공장 및 창고,　Factory ＆ storage,공종별,By the kind of construction works,53466,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,14, 관공서 등,　Public offices,공종별,By the kind of construction works,239175,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,15, 기타,　Others,공종별,By the kind of construction works,156306,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,2,토목,Civil engineering,공종별,By the kind of construction works,8496984,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,21, 치산 및 치수,　Forestry conservancy ＆ water control,공종별,By the kind of construction works,8770,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,22, 농림 및 수산,　Agriculture ＆ fisheries,공종별,By the kind of construction works,0,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,23, 도로 및 교량,　Roads ＆ bridges,공종별,By the kind of construction works,4658297,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,24, 항만 및 공항,　Harbors ＆ airports,공종별,By the kind of construction works,409091,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,25, 철도 및 궤도,　Railway ＆ track,공종별,By the kind of construction works,102634,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,26, 상하수도,　Water supply and sewerage,공종별,By the kind of construction works,103645,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,27, 발전 및 통신,　Generation ＆ transmission of elctricity,공종별,By the kind of construction works,1022343,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,28, 토지조성,　Land development,공종별,By the kind of construction works,1204173,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,29, 댐,　Dams,공종별,By the kind of construction works,119177,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,2A, 기계설치,　Installation of machinery,공종별,By the kind of construction works,431259,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,2B, 조경공사,　landscaping,공종별,By the kind of construction works,242512,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
13,  공기업,Public corporation,발주자별,By the kind of orderer,2C, 기타,　Others,공종별,By the kind of construction works,195083,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
14,  기타공공단체,Other governments,발주자별,By the kind of orderer,0,계,Total,공종별,By the kind of construction works,2765940,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
14,  기타공공단체,Other governments,발주자별,By the kind of orderer,1,건축,Building,공종별,By the kind of construction works,462095,T10,수주액,Value of order received,101,2018,A,DT_1G1B002,발주자/공종별 건설수주액(경상),백만원,Million Won
